_id,Company,Price,Earnings Date,description,20-Day Simple Moving Average,200-Day Simple Moving Average,50-Day,52-Week,Analyst Recom,Average True Range,Average Volume,Beta,Change,EPS ttm,ROI,ratio,performance
52853800bb1177ca391c17ff,Agilent Technologies Inc.,50.44,2013-11-14 21:30:00+00:00,"{'Country': 'USA', 'Sector': 'Healthcare', 'Industry': 'Medical Laboratories & Research'}",-0.0172,0.1062,"[0.0728, -0.054400000000000004]","[0.4378, -0.054400000000000004]",1.6,0.86,2569.36,1.5,-0.0148,2.68,0.163,"{'quick': 2.3, 'current': 3}","{'Year': 0.4242, 'Half Year': 0.1439, 'Month': 0.0063, 'Week': 0.0031000000000000003}"
52853800bb1177ca391c1800,"Alcoa, Inc.",9.02,2013-10-08 20:30:00+00:00,"{'Country': 'USA', 'Sector': 'Basic Materials', 'Industry': 'Aluminum'}",-0.019200000000000002,0.0823,"[0.1579, -0.0925]","[0.1899, -0.0925]",3.1,0.30000000000000004,26728.11,2.02,0.0033,0.25,0.007,"{'quick': 0.7000000000000001, 'current': 1.2}","{'Year': 0.09630000000000001, 'Half Year': 0.06520000000000001, 'Month': 0.0766, 'Week': -0.0694}"
52853800bb1177ca391c1801,WCM/BNY Mellon Focused Growth ADR ETF,36.4,,"{'Country': 'USA', 'Sector': 'Financial', 'Industry': 'Exchange Traded Fund'}",-0.0054,0.0693,"[0.0792, -0.0194]","[0.2727, -0.0194]",,0.31,10.07,,0.0064,,,"{'quick': None, 'current': None}","{'Year': 0.229, 'Half Year': 0.04, 'Month': 0.0183, 'Week': -0.0134}"
52853800bb1177ca391c1802,iShares MSCI AC Asia Information Tech,29.95,,"{'Country': 'USA', 'Sector': 'Financial', 'Industry': 'Exchange Traded Fund'}",-0.029500000000000002,0.0492,"[0.0609, -0.0641]","[0.1791, -0.0641]",,0.45,1.6400000000000001,,-0.02,,,"{'quick': None, 'current': None}","{'Year': 0.1947, 'Half Year': 0.0307, 'Month': 0.003, 'Week': -0.0097}"
52853800bb1177ca391c1803,Altisource Asset Management Corporation,597.98,,"{'Country': 'USA', 'Sector': 'Financial', 'Industry': 'Asset Management'}",-0.0189,0.9846,"[0.8672000000000001, -0.1812]","[38.8653, -0.1812]",,30.17,4.94,,0.0135,-0.02,,"{'quick': None, 'current': None}","{'Year': None, 'Half Year': 0.9832000000000001, 'Month': 0.0631, 'Week': -0.0781}"
52853800bb1177ca391c1804,Atlantic American Corp.,4.03,2013-11-04 05:00:00+00:00,"{'Country': 'USA', 'Sector': 'Financial', 'Industry': 'Life Insurance'}",-0.0035,0.0845,"[0.0747, -0.0098]","[0.6087, -0.038200000000000005]",,0.06,9.51,0.72,-0.0025,0.38,0.031,"{'quick': None, 'current': None}","{'Year': 0.41750000000000004, 'Half Year': 0.0949, 'Month': 0.0025, 'Week': 0}"
52853800bb1177ca391c1805,"Aaron's, Inc.",30.15,2013-10-24 20:30:00+00:00,"{'Country': 'USA', 'Sector': 'Services', 'Industry': 'Rental & Leasing Services'}",0.043000000000000003,0.0653,"[0.15080000000000002, -0.002]","[0.22640000000000002, -0.023]",2.8,0.49,763.14,1.04,0.0013000000000000002,1.76,0.138,"{'quick': None, 'current': None}","{'Year': 0.025500000000000002, 'Half Year': 0.0517, 'Month': 0.061700000000000005, 'Week': 0.0488}"
52853800bb1177ca391c1806,"Applied Optoelectronics, Inc.",12.28,,"{'Country': 'USA', 'Sector': 'Technology', 'Industry': 'Semiconductor - Integrated Circuits'}",-0.0251,0.0654,"[0.3539, -0.09040000000000001]","[0.3539, -0.09040000000000001]",1.8,0.63,110.95,,-0.0269,-0.13,-0.004,"{'quick': 0.9, 'current': 1.5}","{'Year': None, 'Half Year': None, 'Month': 0.23970000000000002, 'Week': -0.0381}"
52853800bb1177ca391c1807,AAON Inc.,27.57,2013-11-07 21:30:00+00:00,"{'Country': 'USA', 'Sector': 'Industrial Goods', 'Industry': 'General Building Materials'}",0.0057,0.2614,"[0.1558, -0.054]","[1.2639, -0.054]",3.0,1.07,90.54,1.2,0.016,0.78,0.198,"{'quick': 1.6, 'current': 2.3}","{'Year': 1.1312, 'Half Year': 0.317, 'Month': 0.0044, 'Week': -0.056}"
52853800bb1177ca391c1808,Advance Auto Parts Inc.,98.92,2013-10-31 12:30:00+00:00,"{'Country': 'USA', 'Sector': 'Services', 'Industry': 'Auto Parts Stores'}",-0.0031000000000000003,0.1903,"[0.2545, -0.038]","[0.41590000000000005, -0.038]",2.3,2.11,749.1,0.34,-0.0077,5.53,0.231,"{'quick': 0.30000000000000004, 'current': 1.3}","{'Year': 0.26130000000000003, 'Half Year': 0.16870000000000002, 'Month': 0.2082, 'Week': 0.0119}"
